time_of_day;severity_level
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Day;Low
Night;Low
Night;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Day;Low
Night;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Day;Low
Night;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Night;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Night;Low
Night;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Night;Low
Night;Low
Night;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Night;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Night;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Night;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Night;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Night;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Day;Low
Night;Low
Day;Low
Night;Low
Day;Low
Night;Low
Night;Low
Night;Low
Night;Low
Night;Low
Night;Low
Day;Low
Day;Low
Day;Low
Day;Low
Day;Low
Night;Low
Day;Low
